ID,Table Names,unique_id,Company_name,year,cgpa_criteria,branch_criteria,ce,ce_shift1,ce_shift2,entc,entc_shift1,entc_shift2,it,Male,Female,Total,sal_lpa
167,Placement Report_modified_ 2020-21.csv,55,Flo Group,2020 -21,6.82,All (UG and PG),0,0,0,4,1,3,0,2,2,4,3.5
168,Placement Report_modified_ 2020-21.csv,54,FlexTrade,2020 -21,NC,CE & IT (UG and PG),2,2,0,0,0,0,0,2,0,2,8.5
169,Placement Report_modified_ 2020-21.csv,53,FinIQ,2020 -21,NC,All (UG),1,1,0,0,0,0,0,1,0,1,20
170,Placement Report_modified_ 2020-21.csv,52,FinIQ,2020 -21,NC,All (UG),4,4,0,0,0,0,3,3,4,7,10
171,Placement Report_modified_ 2020-21.csv,51,Fabric Inc,2020 -21,7.5,All (UG),0,0,0,0,0,0,0,0,0,0,8.5
172,Placement Report_modified_ 2020-21.csv,50,Extramarks Education,2020 -21,NC,All (UG and PG),0,0,0,0,0,0,0,0,0,0,11.5
173,Placement Report_modified_ 2020-21.csv,49,Eumentis Cloud,2020 -21,6.82,All (UG),0,0,0,1,1,0,1,1,1,2,4.07
174,Placement Report_modified_ 2020-21.csv,48,Espressif Systems,2020 -21,NC,All (UG and PG),1,1,0,0,0,0,2,1,2,3,12
175,Placement Report_modified_ 2020-21.csv,47,Ernst & Young,2020 -21,7.95,All (UG),0,0,0,0,0,0,0,0,0,0,4.37
176,Placement Report_modified_ 2020-21.csv,46,eQ Technologic,2020 -21,6.82,All (UG),0,0,0,4,4,0,0,4,0,4,7.5
177,Placement Report_modified_ 2020-21.csv,72,iQ Digital,2020 -21,6.82,All (UG),0,0,0,0,0,0,1,0,1,1,4
178,Placement Report_modified_ 2020-21.csv,71,ION Group,2020 -21,6.82,All (UG) and CE & IT (PG),2,2,0,1,1,0,2,3,2,5,12
179,Placement Report_modified_ 2020-21.csv,70,IntegriChain Inc.,2020 -21,6.82,All (UG),0,0,0,0,0,0,0,0,0,0,3
180,Placement Report_modified_ 2020-21.csv,69,Infosys,2020 -21,6.82,All (UG and PG),2,1,1,2,2,0,0,1,3,4,3.5
181,Placement Report_modified_ 2020-21.csv,68,Infogen Labs,2020 -21,6.82,CE & IT (UG),5,5,0,0,0,0,0,3,2,5,5
182,Placement Report_modified_ 2020-21.csv,67,IGT Solutions,2020 -21,7.38,CE & IT (UG),0,0,0,0,0,0,0,0,0,0,4
183,Placement Report_modified_ 2020-21.csv,66,IDFC FIRST Bank,2020 -21,6.82,CE (UG),1,1,0,0,0,0,,1,0,1,15
184,Placement Report_modified_ 2020-21.csv,65,IDeaS A SAS,2020 -21,8,CE & IT (UG),2,2,0,0,0,0,0,2,0,2,9
185,Placement Report_modified_ 2020-21.csv,64,Icertis,2020 -21,7.38,CE & IT (UG),5,5,0,0,0,0,1,2,4,6,8
186,Placement Report_modified_ 2020-21.csv,63,HSBC,2020 -21,6.82,All (UG),15,11,4,9,7,2,9,26,7,33,7
187,Placement Report_modified_ 2020-21.csv,62,Hitachi Vantara,2020 -21,7.95,CE & IT (UG and PG),0,0,0,0,0,0,0,0,0,0,6.5
188,Placement Report_modified_ 2020-21.csv,61,Hexaware Technologies,2020 -21,6.82,All (UG),2,0,2,1,1,0,0,2,1,3,5
189,Placement Report_modified_ 2020-21.csv,60,Hexaview Technologies,2020 -21,NC,CE & IT (UG),0,0,0,0,0,0,0,0,0,0,9
190,Placement Report_modified_ 2020-21.csv,59,Helpshift Technologies,2020 -21,NC,All (UG),4,3,1,1,1,0,0,3,2,5,8
191,Placement Report_modified_ 2020-21.csv,58,HCL Technologies,2020 -21,8.52,All (UG),0,0,0,0,0,0,0,0,0,0,3.5
192,Placement Report_modified_ 2020-21.csv,91,NICE Systems,2020 -21,6.82,CE & IT (UG),7,7,0,0,0,0,5,8,4,12,7.25
193,Placement Report_modified_ 2020-21.csv,4,64squares,2020 -21,6.82,All (UG),0,0,0,1,1,0,0,0,1,1,7.5
194,Placement Report_modified_ 2020-21.csv,90,Moxie,2020 -21,7,CE & IT (UG),0,0,0,0,0,0,0,0,0,0,9.6
195,Placement Report_modified_ 2020-21.csv,142,Veritas Technologies,2020 -21,6.82,CE & IT (UG),1,1,0,0,0,0,1,1,1,2,11.34
